country1,country2,nbLinkTmp,frameworkContract
Belgium,Denmark,258,H2020
Bulgaria,Denmark,38,H2020
Croatia,Denmark,63,H2020
Cyprus,Denmark,35,H2020
Czech Republic,Denmark,100,H2020
Austria,Estonia,51,H2020
Belgium,Estonia,77,H2020
Bulgaria,Estonia,30,H2020
Croatia,Estonia,29,H2020
Cyprus,Estonia,27,H2020
Czech Republic,Estonia,35,H2020
Denmark,Estonia,48,H2020
Austria,Finland,150,H2020
Belgium,Finland,240,H2020
Bulgaria,Finland,46,H2020
Croatia,Finland,36,H2020
Cyprus,Finland,31,H2020
Czech Republic,Finland,80,H2020
Denmark,Finland,147,H2020
Estonia,Finland,55,H2020
Austria,France,437,H2020
Belgium,France,727,H2020
Bulgaria,France,85,H2020
Croatia,France,96,H2020
Cyprus,France,85,H2020
Czech Republic,France,229,H2020
Denmark,France,334,H2020
Estonia,France,74,H2020
Finland,France,311,H2020
Austria,Germany,641,H2020
Belgium,Germany,886,H2020
Bulgaria,Germany,119,H2020
Croatia,Germany,116,H2020
Cyprus,Germany,100,H2020
Czech Republic,Germany,287,H2020
Denmark,Germany,456,H2020
Estonia,Germany,102,H2020
Finland,Germany,389,H2020
France,Germany,1333,H2020
Austria,Greece,201,H2020
Belgium,Greece,303,H2020
Bulgaria,Greece,69,H2020
Croatia,Greece,62,H2020
Cyprus,Greece,103,H2020
Czech Republic,Greece,107,H2020
Denmark,Greece,144,H2020
Estonia,Greece,57,H2020
Finland,Greece,150,H2020
France,Greece,449,H2020
Germany,Greece,587,H2020
Austria,Hungary,115,H2020
Belgium,Hungary,150,H2020
Bulgaria,Hungary,44,H2020
Croatia,Hungary,44,H2020
Cyprus,Hungary,28,H2020
Czech Republic,Hungary,80,H2020
Denmark,Hungary,84,H2020
Estonia,Hungary,30,H2020
Finland,Hungary,59,H2020
France,Hungary,169,H2020
Germany,Hungary,209,H2020
Greece,Hungary,100,H2020
Austria,Ireland,122,H2020
Belgium,Ireland,212,H2020
Bulgaria,Ireland,32,H2020
Croatia,Ireland,56,H2020
Cyprus,Ireland,40,H2020
Czech Republic,Ireland,75,H2020
Denmark,Ireland,135,H2020
Estonia,Ireland,34,H2020
Finland,Ireland,103,H2020
France,Ireland,254,H2020
Germany,Ireland,333,H2020
Greece,Ireland,143,H2020
Hungary,Ireland,70,H2020
Austria,Italy,443,H2020
Belgium,Italy,729,H2020
Bulgaria,Italy,104,H2020
Croatia,Italy,110,H2020
Cyprus,Italy,110,H2020
Czech Republic,Italy,245,H2020
Denmark,Italy,336,H2020
Estonia,Italy,91,H2020
Finland,Italy,318,H2020
France,Italy,1070,H2020
Germany,Italy,1329,H2020
Greece,Italy,555,H2020
Hungary,Italy,191,H2020
Ireland,Italy,276,H2020
Austria,Latvia,52,H2020
