"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2009","Russia","Total","Total","Number","141 903 979",""
"2009","San Marino","Total","Total","Number","31 269",""
"2009","Ukraine","Total","Total","Number","45 963 359",""
"2009","Armenia","Total","Total","Number","3 237 976",""
"2009","Azerbaijan","Total","Total","Number","8 896 900",""
"2009","Georgia","Total","Total","Number","4 385 429",""
"2010","European Union (28 countries)","Total","Total","Number","503 170 618","b"
"2010","European Union (27 countries)","Total","Total","Number","498 867 771","b"
"2010","Euro area (19 countries)","Total","Total","Number","335 266 424",""
"2010","Euro area (18 countries)","Total","Total","Number","332 124 448",""
"2010","Belgium","Total","Total","Number","10 839 905",""
"2010","Bulgaria","Total","Total","Number","7 421 766",""
"2010","Czech Republic","Total","Total","Number","10 462 088",""
"2010","Denmark","Total","Total","Number","5 534 738",""
"2010","Germany","Total","Total","Number","81 802 257",""
"2010","Germany","Total","Total","Number","81 802 257",""
"2010","Estonia","Total","Total","Number","1 333 290",""
"2010","Ireland","Total","Total","Number","4 549 428",""
"2010","Greece","Total","Total","Number","11 119 289",""
"2010","Spain","Total","Total","Number","46 486 619",""
"2010","France","Total","Total","Number","64 658 856",""
"2010","France (metropolitan)","Total","Total","Number","62 765 235",""
"2010","Croatia","Total","Total","Number","4 302 847",""
"2010","Italy","Total","Total","Number","59 190 143",""
"2010","Cyprus","Total","Total","Number","819 140",""
"2010","Latvia","Total","Total","Number","2 120 504",""
"2010","Lithuania","Total","Total","Number","3 141 976",""
"2010","Luxembourg","Total","Total","Number","502 066",""
"2010","Hungary","Total","Total","Number","10 014 324",""
"2010","Malta","Total","Total","Number","414 027",""
"2010","Netherlands","Total","Total","Number","16 574 989",""
"2010","Austria","Total","Total","Number","8 351 643",""
"2010","Poland","Total","Total","Number","38 022 869",""
"2010","Portugal","Total","Total","Number","10 573 479",""
"2010","Romania","Total","Total","Number","20 294 683",""
"2010","Slovenia","Total","Total","Number","2 046 976",""
"2010","Slovakia","Total","Total","Number","5 390 410",""
"2010","Finland","Total","Total","Number","5 351 427",""
"2010","Sweden","Total","Total","Number","9 340 682",""
"2010","United Kingdom","Total","Total","Number","62 510 197",""
"2010","European Economic Area (EU-28 plus IS, LI, NO)","Total","Total","Number","508 382 341","b"
"2010","European Economic Area (EU-27 plus IS, LI, NO)","Total","Total","Number","504 079 494","b"
"2010","European Free Trade Association","Total","Total","Number","12 997 529",""
"2010","Iceland","Total","Total","Number","317 630",""
"2010","Liechtenstein","Total","Total","Number","35 894",""
"2010","Norway","Total","Total","Number","4 858 199",""
"2010","Switzerland","Total","Total","Number","7 785 806",""
"2010","Montenegro","Total","Total","Number","619 001",""
"2010","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2 052 722",""
"2010","Albania","Total","Total","Number",":",""
"2010","Serbia","Total","Total","Number","7 306 677",""
"2010","Turkey","Total","Total","Number","72 561 312",""
"2010","Andorra","Total","Total","Number","84 082",""
"2010","Belarus","Total","Total","Number","9 480 178",""
"2010","Bosnia and Herzegovina","Total","Total","Number","3 844 046",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","2 208 107",""
"2010","Moldova","Total","Total","Number","3 563 695",""
"2010","Monaco","Total","Total","Number",":",""
"2010","Russia","Total","Total","Number","141 914 509",""
"2010","San Marino","Total","Total","Number",":",""
"2010","Ukraine","Total","Total","Number","45 782 592",""
"2010","Armenia","Total","Total","Number","3 249 482",""
"2010","Azerbaijan","Total","Total","Number","8 997 586",""
"2010","Georgia","Total","Total","Number","4 436 391",""
"2011","European Union (28 countries)","Total","Total","Number","502 964 837","b"
"2011","European Union (27 countries)","Total","Total","Number","498 674 980","b"
"2011","Euro area (19 countries)","Total","Total","Number","334 572 589","b"
"2011","Euro area (18 countries)","Total","Total","Number","331 520 001","b"
"2011","Belgium","Total","Total","Number","11 000 638","b"
"2011","Bulgaria","Total","Total","Number","7 369 431",""
"2011","Czech Republic","Total","Total","Number","10 486 731",""
"2011","Denmark","Total","Total","Number","5 560 628",""
"2011","Germany","Total","Total","Number","80 222 065","b"
"2011","Germany","Total","Total","Number","80 222 065","b"
"2011","Estonia","Total","Total","Number","1 329 660",""
"2011","Ireland","Total","Total","Number","4 570 881",""
"2011","Greece","Total","Total","Number","11 123 392",""
"2011","Spain","Total","Total","Number","46 667 174",""
"2011","France","Total","Total","Number","64 978 721",""
"2011","France (metropolitan)","Total","Total","Number","63 070 344",""
"2011","Croatia","Total","Total","Number","4 289 857",""
"2011","Italy","Total","Total","Number","59 364 690",""
"2011","Cyprus","Total","Total","Number","839 751",""
"2011","Latvia","Total","Total","Number","2 074 605",""
"2011","Lithuania","Total","Total","Number","3 052 588",""
"2011","Luxembourg","Total","Total","Number","511 840",""
"2011","Hungary","Total","Total","Number","9 985 722",""
"2011","Malta","Total","Total","Number","414 989",""
"2011","Netherlands","Total","Total","Number","16 655 799",""
"2011","Austria","Total","Total","Number","8 375 164",""
"2011","Poland","Total","Total","Number","38 062 718",""
"2011","Portugal","Total","Total","Number","10 572 721",""
"2011","Romania","Total","Total","Number","20 199 059",""
"2011","Slovenia","Total","Total","Number","2 050 189",""
"2011","Slovakia","Total","Total","Number","5 392 446",""
"2011","Finland","Total","Total","Number","5 375 276",""
"2011","Sweden","Total","Total","Number","9 415 570",""
"2011","United Kingdom","Total","Total","Number","63 022 532",""
"2011","European Economic Area (EU-28 plus IS, LI, NO)","Total","Total","Number","508 239 743","b"
