"SEX","GEO","TIME","AGE","UNIT","ISCED11","Value"
"T","EL","2015","Y15-64","PC","ED3_4","43.0"
"T","EL","2015","Y15-64","PC","ED5-8","25.4"
"T","ES","2003","Y15-64","PC","ED0-2","55.8"
"T","ES","2003","Y15-64","PC","ED3-8","44.2"
"T","ES","2003","Y15-64","PC","ED3_4","20.7"
"T","ES","2003","Y15-64","PC","ED5-8","23.6"
"T","ES","2004","Y15-64","PC","ED0-2","54.5"
"T","ES","2004","Y15-64","PC","ED3-8","45.5"
"T","ES","2004","Y15-64","PC","ED3_4","21.0"
"T","ES","2004","Y15-64","PC","ED5-8","24.5"
"T","ES","2005","Y15-64","PC","ED0-2","51.7"
"T","ES","2005","Y15-64","PC","ED3-8","48.3"
"T","ES","2005","Y15-64","PC","ED3_4","22.3"
"T","ES","2005","Y15-64","PC","ED5-8","26.1"
"T","ES","2006","Y15-64","PC","ED0-2","50.9"
"T","ES","2006","Y15-64","PC","ED3-8","49.1"
"T","ES","2006","Y15-64","PC","ED3_4","22.8"
"T","ES","2006","Y15-64","PC","ED5-8","26.4"
"T","ES","2007","Y15-64","PC","ED0-2","50.1"
"T","ES","2007","Y15-64","PC","ED3-8","49.9"
"T","ES","2007","Y15-64","PC","ED3_4","23.1"
"T","ES","2007","Y15-64","PC","ED5-8","26.8"
"T","ES","2008","Y15-64","PC","ED0-2","49.8"
"T","ES","2008","Y15-64","PC","ED3-8","50.2"
"T","ES","2008","Y15-64","PC","ED3_4","23.1"
"T","ES","2008","Y15-64","PC","ED5-8","27.0"
"T","ES","2009","Y15-64","PC","ED0-2","49.5"
"T","ES","2009","Y15-64","PC","ED3-8","50.5"
"T","ES","2009","Y15-64","PC","ED3_4","23.2"
"T","ES","2009","Y15-64","PC","ED5-8","27.4"
"T","ES","2010","Y15-64","PC","ED0-2","48.1"
"T","ES","2010","Y15-64","PC","ED3-8","51.9"
"T","ES","2010","Y15-64","PC","ED3_4","23.4"
"T","ES","2010","Y15-64","PC","ED5-8","28.4"
"T","ES","2011","Y15-64","PC","ED0-2","47.0"
"T","ES","2011","Y15-64","PC","ED3-8","53.0"
"T","ES","2011","Y15-64","PC","ED3_4","23.7"
"T","ES","2011","Y15-64","PC","ED5-8","29.3"
"T","ES","2012","Y15-64","PC","ED0-2","46.4"
"T","ES","2012","Y15-64","PC","ED3-8","53.6"
"T","ES","2012","Y15-64","PC","ED3_4","23.6"
"T","ES","2012","Y15-64","PC","ED5-8","30.0"
"T","ES","2013","Y15-64","PC","ED0-2","45.6"
