"frameworkContract" "country1" "country2" "nbLink"
"699" "FP7" "FI" "UK" 1807
"700" "FP7" "FR" "FR" 13215
"701" "FP7" "FR" "HR" 205
"702" "FP7" "FR" "HU" 889
"703" "FP7" "FR" "IE" 879
"704" "FP7" "FR" "IT" 8038
"705" "FP7" "FR" "LT" 220
"706" "FP7" "FR" "LU" 135
"707" "FP7" "FR" "LV" 227
"708" "FP7" "FR" "MT" 63
"709" "FP7" "FR" "NL" 4556
"710" "FP7" "FR" "Others" 9477
"711" "FP7" "FR" "PL" 1302
"712" "FP7" "FR" "PT" 1518
"713" "FP7" "FR" "RO" 803
"714" "FP7" "FR" "SE" 3135
"715" "FP7" "FR" "SI" 518
"716" "FP7" "FR" "SK" 232
"717" "FP7" "FR" "UK" 8661
"718" "FP7" "HR" "HR" 184
"719" "FP7" "HR" "HU" 69
