Org1;Org2;nbLinkTmp;Org
63251;ACONDICIONAMIENTO TARRASENSE ASSOCIACION;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63252;FUNDACIO INSTITUT DE BIOENGINYERIA DE CATALUNYA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63253;FUNDACIO INSTITUT DE CIENCIES FOTONIQUES;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63254;NOVELIC DOO BEOGRAD-NOVI BEOGRAD;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63255;OBELIS SA;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63256;Optocap Ltd;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63257;SZENT ISTVAN UNIVERSITY;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63258;BASF SE;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63259;RIJKSUNIVERSITEIT GRONINGEN;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
63260;TECHNISCHE UNIVERSITAT DARMSTADT;UNIVERSITE LIBRE DE BRUXELLES;1;UNIVERSITE LIBRE DE BRUXELLES
63261;UNIVERSIDAD DE ZARAGOZA;UNIVERSITE LIBRE DE BRUXELLES;2;UNIVERSITE LIBRE DE BRUXELLES
