country1;country2;nbLinkTmp;frameworkContract
739;France;Luxembourg;112;FP7
740;Greece;Luxembourg;61;FP7
741;Italy;Luxembourg;110;FP7
742;Finland;Luxembourg;51;FP7
743;Ireland;Luxembourg;33;FP7
744;Czech Republic;Luxembourg;32;FP7
745;Denmark;Luxembourg;34;FP7
746;Belgium;Luxembourg;100;FP7
747;Estonia;Luxembourg;31;FP7
748;Hungary;Luxembourg;33;FP7
749;Bulgaria;Luxembourg;27;FP7
750;Latvia;Luxembourg;26;FP7
751;Cyprus;Luxembourg;23;FP7
752;Lithuania;Luxembourg;23;FP7
753;Croatia;Luxembourg;19;FP7
754;Austria;Croatia;88;FP7
755;Belgium;Croatia;100;FP7
756;Bulgaria;Croatia;60;FP7
757;Austria;Belgium;244;H2020
758;Austria;Bulgaria;56;H2020
759;Belgium;Bulgaria;72;H2020
760;Austria;Croatia;49;H2020
761;Belgium;Croatia;58;H2020
762;Bulgaria;Croatia;29;H2020
763;Austria;Cyprus;36;H2020
764;Belgium;Cyprus;49;H2020
