sectperf	unit	geo	time	values
GOV	MIO_NAC	PT	2015-01-01	135.289
GOV	MIO_NAC	RO	2015-01-01	1330.167
GOV	MIO_NAC	RU	2015-01-01	284154.3
GOV	MIO_NAC	SE	2015-01-01	4686
GOV	MIO_NAC	SI	2015-01-01	115.218
GOV	MIO_NAC	SK	2015-01-01	258.341
GOV	MIO_NAC	UK	2015-01-01	2165
GOV	MIO_PPS	AT	2015-01-01	431.404
GOV	MIO_PPS	BE	2015-01-01	722.826
GOV	MIO_PPS	BG	2015-01-01	195.255
GOV	MIO_PPS	CH	2015-01-01	115.877
GOV	MIO_PPS	CY	2015-01-01	12.333
GOV	MIO_PPS	CZ	2015-01-01	1046.258
GOV	MIO_PPS	DE	2015-01-01	12599.341
GOV	MIO_PPS	DK	2015-01-01	137.829
GOV	MIO_PPS	EA19	2015-01-01	29225.395
GOV	MIO_PPS	EE	2015-01-01	44.91
GOV	MIO_PPS	EL	2015-01-01	582.021
GOV	MIO_PPS	ES	2015-01-01	2847.285
GOV	MIO_PPS	EU28	2015-01-01	36350.003
GOV	MIO_PPS	FI	2015-01-01	406.155
GOV	MIO_PPS	FR	2015-01-01	5881.688
GOV	MIO_PPS	HR	2015-01-01	147.555
GOV	MIO_PPS	HU	2015-01-01	354.345
GOV	MIO_PPS	IE	2015-01-01	122.659
GOV	MIO_PPS	IS	2015-01-01	12.568
GOV	MIO_PPS	IT	2015-01-01	2949.366
GOV	MIO_PPS	LT	2015-01-01	110.031
GOV	MIO_PPS	LU	2015-01-01	177.439
GOV	MIO_PPS	LV	2015-01-01	58.585
GOV	MIO_PPS	MT	2015-01-01	14.777
GOV	MIO_PPS	NL	2015-01-01	1549.452
GOV	MIO_PPS	NO	2015-01-01	706.579
GOV	MIO_PPS	PL	2015-01-01	1863.154
GOV	MIO_PPS	PT	2015-01-01	173.782
GOV	MIO_PPS	RO	2015-01-01	603.634
GOV	MIO_PPS	RU	2015-01-01	10011.532
GOV	MIO_PPS	SE	2015-01-01	390.933
GOV	MIO_PPS	SI	2015-01-01	146.327
GOV	MIO_PPS	SK	2015-01-01	395.017
GOV	MIO_PPS	UK	2015-01-01	2381.738
GOV	MIO_PPS_KP05	AT	2015-01-01	366.097
